iter	Passed	Remaining
0	2	221
1	3	183
2	5	165
3	6	149
4	7	144
5	10	159
6	11	156
7	13	150
8	14	151
9	17	153
10	18	149
11	21	156
12	25	167
13	27	166
14	28	161
15	30	158
16	31	154
17	33	150
18	34	146
19	36	144
20	38	143
21	39	140
22	41	137
23	42	135
24	44	132
25	45	129
26	47	127
27	48	124
28	50	122
29	53	123
30	54	121
31	56	119
32	57	116
33	58	114
34	60	112
35	61	109
36	62	107
37	64	105
38	66	104
39	68	102
40	69	100
41	71	98
42	72	96
43	73	93
44	75	91
45	76	90
46	78	88
47	80	86
48	82	85
49	84	84
50	86	82
51	87	80
52	89	79
53	91	77
54	93	76
55	95	74
56	97	73
57	99	71
58	100	69
59	102	68
60	103	66
61	106	65
62	108	63
63	110	61
64	111	60
65	113	58
66	115	57
67	117	55
68	121	54
69	123	52
70	124	50
71	126	49
72	128	47
73	130	45
74	134	44
75	136	42
76	139	41
77	141	39
78	143	38
79	148	37
80	150	35
81	151	33
82	153	31
83	157	30
84	159	28
85	161	26
86	162	24
87	164	22
88	165	20
89	166	18
90	168	16
91	169	14
92	170	12
93	172	10
94	173	9
95	174	7
96	175	5
97	177	3
98	178	1
99	179	0
