iter	Passed	Remaining
0	172	172560
1	177	88324
2	180	59922
3	186	46385
4	190	37855
5	193	32071
6	200	28414
7	203	25271
8	206	22771
9	210	20831
10	213	19187
11	217	17893
12	220	16769
13	227	15998
14	231	15174
15	234	14426
16	245	14193
17	249	13615
18	255	13209
19	261	12790
20	265	12358
21	273	12149
22	280	11917
23	288	11717
24	291	11383
25	295	11076
26	308	11134
27	321	11149
28	326	10919
29	333	10776
30	337	10546
31	340	10307
32	346	10168
33	350	9969
34	358	9875
35	362	9717
36	367	9565
37	372	9420
38	375	9255
39	380	9134
40	388	9094
41	393	8968
42	396	8816
43	403	8771
44	408	8660
45	414	8596
46	417	8465
47	421	8354
48	429	8334
49	433	8242
50	437	8131
51	443	8077
52	446	7971
53	449	7877
54	453	7789
55	459	7738
56	463	7664
57	467	7591
58	473	7549
59	478	7489
60	482	7432
61	489	7413
62	493	7333
63	497	7280
64	500	7202
65	501	7103
66	503	7007
67	504	6913
68	505	6820
69	506	6728
70	507	6639
71	508	6554
72	509	6474
73	511	6395
74	512	6318
75	513	6245
76	515	6174
77	516	6102
78	517	6032
79	518	5963
80	519	5894
81	520	5829
82	521	5759
83	522	5697
84	523	5638
85	524	5579
86	526	5521
87	527	5464
88	528	5412
89	529	5357
90	530	5304
91	532	5251
92	533	5200
93	534	5154
94	536	5106
95	538	5073
96	548	5105
97	553	5092
98	557	5072
99	564	5078
100	568	5058
101	571	5031
102	579	5049
103	584	5035
104	588	5019
105	592	4997
106	596	4977
107	600	4956
108	604	4944
109	608	4925
110	614	4920
111	621	4927
112	630	4949
113	635	4939
114	640	4925
115	650	4960
116	654	4939
117	658	4922
118	664	4917
119	668	4904
120	673	4891
121	677	4878
122	681	4858
123	685	4840
124	689	4824
125	693	4811
126	697	4791
127	701	4779
128	706	4770
129	710	4757
130	716	4754
131	724	4766
132	734	4790
133	739	4780
134	745	4776
135	749	4763
136	753	4749
137	758	4738
138	763	4729
139	767	4714
140	771	4698
141	774	4680
142	778	4666
143	782	4650
144	787	4644
145	793	4638
146	796	4622
147	804	4629
148	808	4619
149	813	4610
150	817	4596
151	822	4587
152	827	4579
153	831	4567
154	836	4558
155	840	4548
156	846	4546
157	851	4539
158	856	4532
159	861	4523
160	864	4507
161	870	4500
162	874	4490
163	882	4500
164	887	4491
165	892	4483
166	897	4475
167	899	4453
168	900	4427
169	904	4414
170	905	4389
171	906	4365
